Authorization Status,Country of FD Name,Item Category,Quantity,Item Net Weight,Item Grams,Rate,Invoice Date Only,Invoice Quantity,Invoice Status,Extra Fields Final Destination,Sourcing Type,Order Status,Minimum Order Value,Load Deviation,Transaction_Value
Pending,Singapore,Generic,26,0.65,25,6.49,18-07-2024,34,Invoice Generated,Singapore,Local/Regional Sourcing,Order Released,80,-54,168.74
Pending,Germana,Regular Chips,240,72,300,5,23-07-2024,243,Invoice Generated,Germana,Indian Export,Order Released,20,220,1200
Unknown,Germany,Popcorn,55,1.38,25,5.49,24-07-2024,54,Invoice Generated,Germany,Indian Export,Order Released,40,15,301.95
Pending,China,Popcorn,80,20,250,1.08,,129,Invoice Pending,China,Indian Export,Order Released,20,60,86.4
Pending,Singapore,Generic,288,15.4,150,6.24,,129,Invoice Pending,Singapore,Indian Export,Order Released,20,268,1797.12
Under Review,China,Generic,144,36,250,5.07,,129,No Invoice,China,Indian Export,Order Released,80,64,730.08
Under Review,USA,Generic,132,85.5,200,9.54,19-07-2024,-4,Invoice Generated,USA,Indian Export,Order Released,80,52,1259.28
Pending,Japan,Health Bars,264,13.2,50,7.75,,129,Invoice Generated,Japan,Local/Regional Sourcing,Order Released,80,184,2046
Pending,UK,Generic,21,1.58,75,6.25,21-07-2024,22,Invoice Generated,UK,Indian Export,Order Pending,20,1,131.25
Pending,Germany,Peanuts,72,18,342,3.88,,129,No Invoice,Germany,Indian Export,Order Released,20,52,279.36
Pending,Canada,Generic,44,11,250,4.03,20-07-2024,44,Invoice Generated,Canada,Indian Export,Order Released,80,-36,177.32
Under Review,Spein,Generic,209,62.7,300,9.01,,129,Invoice Generated,Spein,Indian Export,Unknown,40,169,1883.09
Under Review,China,Popcorn,250,75,300,5.1,,129,No Invoice,China,Local/Regional Sourcing,Order Released,140,0,1275
Unknown,USA,Generic,32,6.4,200,6.87,,129,No Invoice,USA,Local/Regional Sourcing,Unknown,80,-48,219.84
Under Review,USA,Generic,207,31.05,150,7.93,,129,No Invoice,USA,Local/Regional Sourcing,Order Pending,20,187,1641.51
Pending,Brazil,Generic,39,5.85,150,7.34,,129,Invoice Pending,Brazil,Local/Regional Sourcing,Order Pending,20,19,286.26
Approved,China,Regular Chips,33,3.3,100,3.7,,129,No Invoice,China,Local/Regional Sourcing,Order Pending,40,-7,122.1
Pending,Mexico,Regular Chips,385,19.25,150,2.54,23-07-2024,387,Invoice Generated,Mexico,Local/Regional Sourcing,Order Released,20,365,977.9
Pending,Canada,Premium Chocolate,136,13.6,100,16.655,14-07-2024,138,Invoice Generated,Canada,Indian Export,Order Pending,136,0,2265.08
Pending,Spain,Unknown,390,29.25,75,1.99,18-07-2024,389,Invoice Generated,Spain,Indian Export,Order Released,20,370,776.1
Under Review,Japan,Generic,104,20.8,200,3.24,,129,Invoice Generated,Japan,Local/Regional Sourcing,Order Released,40,64,336.96
Unknown,India,Premium Nuts,210,5.25,25,16.655,,129,No Invoice,India,Local/Regional Sourcing,Order Pending,40,170,3497.55
Under Review,Germany,Generic,36,18,150,4.01,,129,No Invoice,Germany,Indian Export,Order Released,80,-44,144.36
Under Review,Unknown,Generic,176,17.6,100,4.97,,129,No Invoice,Unknown,Indian Export,Order Pending,20,156,874.72
Pending,Canada,Premium Chocolate,124,18.6,150,14.33,18-07-2024,128,Invoice Generated,Canada,Local/Regional Sourcing,Order Released,40,84,1776.92
Approved,Italy,Generic,90,2.25,25,3.63,22-07-2024,87,Invoice Generated,Italy,Indian Export,Order Released,20,70,326.7
Unknown,Italy,Generic,190,28.5,150,6.25,,129,Invoice Generated,Italy,Indian Export,Order Released,140,0,1187.5
Approved,Mexico,Generic,286,85.5,300,10.92,21-07-2024,278,Invoice Generated,Mexico,Indian Export,Order Released,140,0,3123.12
Pending,Canada,Generic,539,85.5,300,10.17,12-07-2024,544,Invoice Generated,Canada,Indian Export,Order Released,20,425,5481.63
Under Review,Mexico,Health Bars,26,2.6,100,8.65,,129,No Invoice,Mexico,Indian Export,Order Pending,40,-14,224.9
Approved,Brazil,Popcorn,121,15.4,25,5.08,,129,No Invoice,Brazil,Indian Export,Order Pending,80,41,614.68
Unknown,Mexico,Unknown,222,11.1,50,4.46,24-07-2024,213,Invoice Generated,Mexico,Indian Export,Order Released,20,202,990.12
Pending,Spain,Generic,187,18.7,100,8.08,,129,Invoice Pending,Spain,Local/Regional Sourcing,Pending,40,147,1510.96
Under Review,India,Brand Chips,330,82.5,250,7.46,23-07-2024,330,Invoice Generated,India,Indian Export,Order Released,140,0,2461.8
Unknown,Brazil,Generic,286,42.9,150,2.81,14-07-2024,294,Invoice Generated,Brazil,Local/Regional Sourcing,Order Pending,20,266,803.66
Pending,Germany,Popcorn,27,2.03,75,2.62,,129,No Invoice,Germany,Indian Export,Order Pending,20,7,70.74
Pending,Italy,Generic,25,1.25,50,9.9,,129,Invoice Pending,Italy,Indian Export,Order Released,25,0,247.5
Approved,UK,Dried Fruit,72,10.8,150,10.15,18-07-2024,73,Invoice Generated,UK,Local/Regional Sourcing,Order Released,40,32,730.8
Pending,Brazil,Generic,132,4.28,75,3.57,19-07-2024,129,Invoice Generated,Brazil,Indian Export,Order Released,40,92,471.24
Pending,USA,Generic,15,1.5,100,4.26,15-07-2024,24,Invoice Generated,USA,Indian Export,Order Released,80,-65,63.9
Under Review,USA,Generic,54,8.1,150,3.95,,129,Unknown,USA,Local/Regional Sourcing,Order Released,40,14,213.3
Under Review,Brazil,Generic,541,85.5,200,6.25,,129,Invoice Pending,Brazil,Indian Export,Order Pending,40,425,3381.25
Unknown,Canada,Premium Chocolate,62,4.65,75,16.47,,129,No Invoice,Canada,Indian Export,Order Pending,40,22,1021.14
Pending,USA,Regular Chips,50,3.75,75,4.7,27-07-2024,58,Invoice Generated,USA,Indian Export,Order Released,40,10,235
Pending,USA,Jerky,132,33.6,100,10.72,14-07-2024,129,Invoice Generated,USA,Indian Export,Order Released,40,92,1415.04
Pending,Canada,Generic,171,17.1,100,8.71,13-07-2024,176,Invoice Generated,Canada,Local/Regional Sourcing,Order Pending,20,151,1489.41
Unknown,Spain,Generic,140,7,50,2.92,18-07-2024,142,Invoice Generated,Spain,Indian Export,Order Released,140,0,408.8
Unknown,South Korea,Peanuts,430,85.5,326,4.7,22-07-2024,426,Invoice Generated,South Korea,Local/Regional Sourcing,Order Released,20,410,2021
Unknown,Italy,Popcorn,541,9.3,25,4.9,,129,Invoice Pending,Italy,Local/Regional Sourcing,Order Pending,40,425,2650.9
Pending,Spain,Generic,270,85.5,500,2.7,,129,Invoice Pending,Spain,Local/Regional Sourcing,Order Pending,40,230,729
Pending,Australia,Generic,396,85.5,250,4.77,26-07-2024,406,Invoice Generated,Australia,Indian Export,Order Pending,40,356,1888.92
Pending,India,Regular Nuts,148,14.8,100,12.01,22-07-2024,145,Invoice Generated,India,Indian Export,Order Released,140,0,1777.48
Approved,Canada,Generic,150,22.5,150,5.49,,129,Invoice Generated,Canada,Indian Export,Order Pending,40,110,823.5
Pending,Italy,Generic,165,8.25,177,11.26,,129,No Invoice,Italy,Indian Export,Order Pending,40,125,1857.9
Pending,India,Regular Chips,175,17.5,100,4.89,21-07-2024,176,Invoice Generated,India,Indian Export,Order Released,20,155,855.75
Pending,France,Generic,42,3.15,75,9.75,,129,No Invoice,France,Indian Export,Order Pending,80,-38,409.5
Pending,Germany,Regular Chips,63,4.72,75,2.72,,129,Invoice Pending,Germany,Indian Export,Order Released,80,-17,171.36
Pending,Spain,Generic,105,31.5,300,9.31,,129,Invoice Pending,Spain,Indian Export,Order Pending,40,65,977.55
Unknown,Australia,Premium Chocolate,234,35.1,150,16.655,21-07-2024,241,Invoice Generated,Australia,Local/Regional Sourcing,Order Released,40,194,3897.27
Pending,France,Peanuts,215,10.75,50,4.47,16-07-2024,225,Invoice Generated,France,Indian Export,Order Released,40,175,961.05
Approved,USA,Generic,47,3.53,75,7.88,19-07-2024,52,Invoice Generated,USA,Indian Export,Order Released,40,7,370.36
Unknown,Brazil,Generic,490,24.5,50,8.87,14-07-2024,486,Invoice Generated,Brazil,Indian Export,Order Released,40,425,4346.3
Pending,UK,Unknown,132,26,250,10.17,,129,Invoice Pending,UK,Indian Export,Unknown,80,52,1342.44
Pending,USA,Brand Chips,24,2.4,100,3.88,,129,No Invoice,USA,Indian Export,Order Released,40,-16,93.12
Pending,Italy,Generic,541,85.5,500,6.65,23-07-2024,561,Invoice Generated,Italy,Local/Regional Sourcing,Order Released,20,425,3597.65
Pending,Australia,Regular Chips,94,23.5,250,2.66,,129,Invoice Pending,Australia,Indian Export,Order Released,94,0,250.04
Unknown,Chine,Generic,322,64.4,200,2.63,24-07-2024,314,Invoice Generated,Chine,Indian Export,Order Released,40,282,846.86
Pending,South Korea,Popcorn,72,3.6,50,3.26,17-07-2024,74,Invoice Generated,South Korea,Indian Export,Order Pending,40,32,234.72
Approved,France,Brand Chips,279,69.75,250,2.52,,129,No Invoice,France,Local/Regional Sourcing,Order Released,40,239,703.08
Approved,Australia,Premium Chips,132,15,300,6.81,,129,No Invoice,Australia,Local/Regional Sourcing,Order Pending,40,92,898.92
Approved,France,Generic,372,85.5,500,4.72,21-07-2024,372,Invoice Generated,France,Indian Export,Order Released,40,332,1755.84
Under Review,France,Generic,168,42,250,7.62,,129,Invoice Pending,France,Indian Export,Order Released,40,128,1280.16
Pending,France,Premium Chocolate,84,8.4,100,16.655,26-07-2024,76,Invoice Generated,France,Indian Export,Order Pending,40,44,1399.02
Under Review,China,Generic,63,9.45,150,2.97,,129,No Invoice,China,Indian Export,Order Released,80,-17,187.11
Approved,Brazil,Generic,92,18.4,200,2.11,,129,No Invoice,Brazil,Indian Export,Order Released,40,52,194.12
Pending,Germany,Generic,294,44.1,150,2.43,,129,Invoice Pending,Germany,Indian Export,Order Released,140,0,714.42
Approved,Australia,Generic,132,45,250,12.56,,129,Unknown,Australia,Indian Export,Order Released,40,92,1657.92
Pending,Germany,Generic,347,36,300,2.69,13-07-2024,339,Invoice Generated,Germany,Indian Export,Order Pending,40,307,933.43
Under Review,aexico,Generic,22,5.5,250,7.91,23-07-2024,14,Invoice Generated,aexico,Indian Export,Order Released,40,-18,174.02
Pending,USA,Brand Chips,384,85.5,250,5.63,14-07-2024,382,Invoice Generated,USA,Indian Export,Order Released,40,344,2161.92
Under Review,Brazil,Generic,408,15.4,150,7.08,,129,Invoice Pending,Brazil,Indian Export,Order Released,20,388,2888.64
Pending,Italy,Generic,30,15,500,4.65,20-07-2024,28,Invoice Generated,Italy,Indian Export,Order Released,30,0,139.5
Pending,Chiaa,Generic,400,10,25,6.43,,129,No Invoice,Chiaa,Local/Regional Sourcing,Order Pending,20,380,2572
Under Review,UK,Popcorn,287,71.75,250,2.32,24-07-2024,292,Invoice Generated,UK,Indian Export,Order Pending,80,207,665.84
Pending,Australia,Unknown,168,4.2,25,4.27,,129,No Invoice,Australia,Local/Regional Sourcing,Order Released,40,128,717.36
Under Review,Canada,Premium Chips,40,6,150,8.57,15-07-2024,49,Invoice Generated,Canada,Indian Export,Order Released,40,0,342.8
Pending,Italy,Generic,30,7.5,250,3.27,27-07-2024,23,Invoice Generated,Italy,Indian Export,Order Pending,80,-50,98.1
Pending,Japan,Generic,25,6.25,250,9.95,14-07-2024,35,Invoice Generated,Japan,Indian Export,Order Released,20,5,248.75
Pending,Austaalia,Premium Chocolate,96,2.4,25,16.655,26-07-2024,102,Invoice Generated,Austaalia,Indian Export,Order Released,96,0,1598.88
Approved,China,Dried Fruit,40,2,50,16.63,15-07-2024,35,Invoice Generated,China,Indian Export,Order Released,40,0,665.2
Under Review,South Korea,Generic,77,38.5,500,10.05,,129,No Invoice,South Korea,Indian Export,Order Released,20,57,773.85
Under Review,UK,Regular Chips,100,85.5,300,5.1,,129,Invoice Generated,UK,Indian Export,Order Released,40,60,510
Pending,USA,Regular Chips,175,52.5,395,5.75,15-07-2024,171,Invoice Generated,USA,Indian Export,Order Released,20,155,1006.25
Pending,Mexico,Generic,104,52,512.5,9.3,15-07-2024,106,Invoice Generated,Mexico,Indian Export,Order Released,40,64,967.2
Pending,Austrelia,Regular Chips,74,7.4,100,5.84,15-07-2024,80,Invoice Generated,Austrelia,Indian Export,Order Released,80,-6,432.16
Under Review,Singapore,Generic,11,5.5,500,2.61,26-07-2024,11,Invoice Generated,Singapore,Indian Export,Order Pending,80,-69,28.71
Approved,Spain,Generic,376,9.4,25,7.04,24-07-2024,369,Invoice Generated,Spain,Indian Export,Order Pending,80,296,2647.04
Pending,Austraaia,Generic,6,0.6,100,3.8,,129,Unknown,Austraaia,Indian Export,Order Released,40,-34,22.8
Approved,Singapore,Generic,210,15.75,150,9.44,14-07-2024,201,Invoice Generated,Singapore,Local/Regional Sourcing,Order Released,40,170,1982.4
Pending,India,Generic,204,5.1,25,6.9,15-07-2024,199,Invoice Generated,India,Indian Export,Order Released,40,164,1407.6
Pending,Italy,Generic,36,9,250,3.51,20-07-2024,46,Invoice Generated,Italy,Indian Export,Order Released,40,-4,126.36
Pending,Japan,Regular Chips,144,28.8,200,1.69,14-07-2024,151,Invoice Generated,Japan,Indian Export,Order Pending,40,104,243.36
Under Review,UK,Brand Chips,297,22.28,75,5.06,24-07-2024,303,Invoice Generated,UK,Indian Export,Order Released,140,0,1502.82
Unknown,France,Regular Chips,350,35,100,4.62,27-07-2024,352,Invoice Generated,France,Local/Regional Sourcing,Order Released,40,310,1617
Unknown,UK,Premium Chips,224,22.4,100,5.53,24-07-2024,222,Invoice Generated,UK,Local/Regional Sourcing,Order Released,40,184,1238.72
Approved,South Korea,Generic,37,9.25,250,16.28,,129,Invoice Generated,South Korea,Indian Export,Order Pending,20,17,602.36
Under Review,France,Popcorn,66,33,500,1.27,28-07-2024,65,Invoice Generated,France,Indian Export,Order Released,40,26,83.82
Under Review,China,Regular Chips,423,85.5,250,2.08,28-07-2024,415,Invoice Generated,China,Indian Export,Order Released,40,383,879.84
Unknown,UK,Brand Chips,11,3.3,300,8.67,,129,No Invoice,UK,Indian Export,Order Pending,20,-9,95.37
Unknown,India,Generic,132,34,100,2.38,,129,Invoice Pending,India,Indian Export,Order Released,80,52,314.16
Pending,France,Popcorn,541,14.1,25,5.05,,129,Invoice Generated,France,Indian Export,Order Released,140,0,2732.05
Pending,UK,Popcorn,312,85.5,500,4.42,,129,No Invoice,UK,Indian Export,Order Pending,40,272,1379.04
Pending,USA,Generic,5,0.13,25,8.44,,129,Invoice Generated,USA,Indian Export,Order Released,40,-35,42.2
Unknown,France,Premium Chocolate,396,85.5,250,16.655,,129,Unknown,France,Indian Export,Order Released,40,356,6595.38
Pending,Germany,Generic,24,4.8,200,7.44,14-07-2024,31,Invoice Generated,Germany,Local/Regional Sourcing,Order Released,24,0,178.56
Under Review,Unknown,Premium Chips,40,12,300,3.76,,129,Invoice Pending,Unknown,Indian Export,Order Released,20,20,150.4
Unknown,Canada,Generic,126,9.45,75,9.85,16-07-2024,123,Invoice Generated,Canada,Indian Export,Order Released,40,86,1241.1
Approved,Australia,Regular Chips,208,15.6,75,3.29,,129,No Invoice,Australia,Local/Regional Sourcing,Order Pending,80,128,684.32
Unknown,Mexico,Generic,290,58,200,7.56,,129,Invoice Pending,Mexico,Indian Export,Order Released,20,270,2192.4
Unknown,Germany,Generic,85,42.5,500,8.66,,129,No Invoice,Germany,Indian Export,Order Pending,40,45,736.1
Unknown,Australia,Generic,42,12.6,300,6.17,,129,Invoice Generated,Australia,Indian Export,Order Pending,40,2,259.14
Approved,Brazil,Generic,372,85.5,500,3.29,,129,No Invoice,Brazil,Indian Export,Order Released,80,292,1223.88
Pending,Mexico,Premium Chocolate,33,8.25,250,9.31,,129,Invoice Pending,Mexico,Indian Export,Order Pending,80,-47,307.23
Pending,India,Unknown,42,6.3,150,4.28,23-07-2024,42,Invoice Generated,India,Local/Regional Sourcing,Order Pending,42,0,179.76
Approved,USA,Generic,132,9,500,5.29,20-07-2024,9,Invoice Generated,USA,Indian Export,Order Released,40,92,698.28
Under Review,Italy,Regular Chips,154,3.85,25,3.19,,129,Invoice Pending,Italy,Indian Export,Order Released,40,114,491.26
Pending,South Korea,Regular Chips,180,45,250,5.5,28-07-2024,175,Invoice Generated,South Korea,Indian Export,Order Released,20,160,990
Approved,UK,Health Bars,450,11.25,150,15.23,,129,No Invoice,UK,Indian Export,Order Pending,40,410,6853.5
Pending,Mexico,Generic,48,14.4,150,6.25,,129,No Invoice,Mexico,Indian Export,Unknown,48,0,300
Pending,China,Generic,60,4.5,75,2.37,27-07-2024,70,Invoice Generated,China,Indian Export,Order Pending,40,20,142.2
Approved,Singapore,Generic,20,3,150,16.655,,129,No Invoice,Singapore,Local/Regional Sourcing,Order Pending,20,0,333.1
Under Review,Spain,Generic,176,85.5,500,8.67,,129,No Invoice,Spain,Local/Regional Sourcing,Order Pending,80,96,1525.92
Approved,Spain,Generic,192,28.8,150,7.08,,129,No Invoice,Spain,Indian Export,Order Released,40,152,1359.36
Under Review,Germany,Popcorn,50,10,200,2.05,15-07-2024,41,Invoice Generated,Germany,Indian Export,Order Released,40,10,102.5
Pending,South Korea,Generic,132,52.8,200,2.93,28-07-2024,-10,Invoice Generated,South Korea,Local/Regional Sourcing,Order Released,40,92,386.76
Approved,Canada,Regular Chips,136,15.4,150,3.62,15-07-2024,146,Invoice Generated,Canada,Indian Export,Order Released,40,96,492.32
Pending,Japan,Generic,528,52.8,100,8.43,25-07-2024,530,Invoice Generated,Japan,Local/Regional Sourcing,Order Released,20,425,4451.04
Unknown,Japan,Health Bars,252,25.2,100,11.18,,129,No Invoice,Japan,Indian Export,Order Pending,40,212,2817.36
Pending,Spain,Popcorn,344,85.5,250,2.86,,129,Invoice Pending,Spain,Indian Export,Order Pending,40,304,983.84
Pending,South Korea,Generic,440,11,25,7.67,18-07-2024,442,Invoice Generated,South Korea,Indian Export,Order Released,140,0,3374.8
Under Review,Spain,Regular Chips,75,18.75,250,4.85,,129,No Invoice,Spain,Indian Export,Order Released,40,35,363.75
Under Review,Spain,Unknown,16,1.2,75,4.79,,129,Invoice Pending,Spain,Indian Export,Order Released,20,-4,76.64
Pending,Germany,Regular Chips,216,64.8,300,5.53,26-07-2024,209,Invoice Generated,Germany,Indian Export,Order Released,140,0,1194.48
Approved,Mexico,Health Bars,140,10.5,75,8.85,,129,Invoice Generated,Mexico,Indian Export,Order Pending,140,0,1239
Unknown,UK,Generic,100,25,250,9.85,,129,Invoice Pending,UK,Indian Export,Order Pending,20,80,985
Approved,France,Peanuts,176,13.2,75,3.11,,129,Invoice Pending,France,Indian Export,Order Released,20,156,547.36
Pending,Spain,Generic,396,19.8,50,5.75,22-07-2024,386,Invoice Generated,Spain,Local/Regional Sourcing,Order Released,80,316,2277
Pending,Germany,Popcorn,162,24.3,150,3.77,,129,No Invoice,Germany,Indian Export,Order Pending,140,0,610.74
Pending,Spain,Dried Fruit,90,2.25,25,9.84,28-07-2024,85,Invoice Generated,Spain,Indian Export,Order Released,90,0,885.6
Pending,USA,Generic,200,85.5,500,4.42,,129,No Invoice,USA,Indian Export,Order Pending,40,160,884
Pending,South Korea,Generic,198,85.5,500,5.52,27-07-2024,190,Invoice Generated,South Korea,Local/Regional Sourcing,Order Released,40,158,1092.96
Approved,Germany,Dried Fruit,125,37.5,300,16.01,,129,No Invoice,Germany,Indian Export,Approved,40,85,2001.25
Approved,Mexico,Unknown,50,5,100,5.76,,129,Invoice Pending,Mexico,Local/Regional Sourcing,Order Released,40,10,288
Unknown,Brazil,Health Bars,27,6.75,250,11.96,28-07-2024,31,Invoice Generated,Brazil,Indian Export,Order Released,20,7,322.92
Pending,USA,Generic,96,9.6,100,8.89,,129,No Invoice,USA,Indian Export,Order Pending,40,56,853.44
Under Review,South Korea,Generic,380,9.5,25,5.08,26-07-2024,389,Invoice Generated,South Korea,Indian Export,Order Released,40,340,1930.4
Under Review,Italy,Premium Chips,110,33,300,9.57,28-07-2024,116,Invoice Generated,Italy,Indian Export,Order Pending,40,70,1052.7
Under Review,India,Brand Chips,8,0.8,100,6.95,,129,No Invoice,India,Local/Regional Sourcing,Order Pending,8,0,55.6
Pending,Japan,Regular Chips,56,15.4,150,5.36,29-07-2024,62,Invoice Generated,Japan,Indian Export,Order Released,40,16,300.16
Pending,France,Generic,12,2.4,200,9.6,,129,No Invoice,France,Indian Export,Order Released,20,-8,115.2
Approved,Canada,Regular Chips,297,7.43,25,4.18,,129,Invoice Pending,Canada,Indian Export,Order Released,80,217,1241.46
Unknown,South Korea,Unknown,70,3.5,50,1.74,,129,Invoice Pending,South Korea,Local/Regional Sourcing,Unknown,80,-10,121.8
Pending,Germany,Jerky,56,4.2,75,14.71,29-07-2024,53,Invoice Generated,Germany,Indian Export,Order Released,56,0,823.76
Pending,USA,Unknown,150,15,150,3.17,21-07-2024,141,Invoice Generated,USA,Local/Regional Sourcing,Order Released,80,70,475.5
Pending,USA,Regular Chips,468,15.4,500,2.56,23-07-2024,464,Invoice Generated,USA,Indian Export,Order Released,40,425,1198.08
Unknown,India,Premium Chocolate,204,40.8,150,16.655,21-07-2024,206,Invoice Generated,India,Local/Regional Sourcing,Order Released,20,184,3397.62
Unknown,Spain,Regular Nuts,10,0.25,25,16.655,20-07-2024,5,Invoice Generated,Spain,Indian Export,Order Released,40,-30,166.55
Pending,Germany,Regular Chips,343,85.5,500,4.77,,129,No Invoice,Germany,Local/Regional Sourcing,Order Released,40,303,1636.11
Under Review,China,Premium Chips,144,28.8,200,3.84,,129,Invoice Generated,China,Indian Export,Order Pending,40,104,552.96
Under Review,France,Generic,252,50.4,150,2.8,,129,Invoice Pending,France,Indian Export,Order Released,20,232,705.6
Approved,Australia,Regular Chips,306,76.5,250,1.55,28-07-2024,316,Invoice Generated,Australia,Indian Export,Order Released,40,266,474.3
Pending,USA,Premium Chips,160,32,200,8.15,15-07-2024,150,Invoice Generated,USA,Local/Regional Sourcing,Order Pending,80,80,1304
Unknown,USA,Generic,360,18,50,6.84,23-07-2024,365,Invoice Generated,USA,Local/Regional Sourcing,Order Released,40,320,2462.4
Pending,France,Jerky,9,2.25,250,10.16,,129,Invoice Pending,France,Local/Regional Sourcing,Order Released,40,-31,91.44
Pending,China,Generic,6,0.15,25,10.54,,129,Invoice Generated,China,Local/Regional Sourcing,Order Released,6,0,63.24
Pending,South Korea,Generic,162,81,500,9.3,25-07-2024,154,Invoice Generated,South Korea,Indian Export,Order Released,80,82,1506.6
Under Review,India,Popcorn,12,15.4,512.5,1.91,,129,No Invoice,India,Indian Export,Order Pending,40,-28,22.92
Approved,China,Trail Mix,250,37.5,150,6.27,,129,Invoice Generated,China,Indian Export,Order Released,20,230,1567.5
Pending,USA,Premium Chocolate,10,2,150,6.18,,129,Invoice Generated,USA,Indian Export,Order Pending,20,-10,61.8
Unknown,South Korea,Popcorn,198,9.9,50,3.39,,129,No Invoice,South Korea,Local/Regional Sourcing,Approved,20,178,671.22
Unknown,Spain,Regular Chips,185,9.25,50,3.01,,129,Invoice Pending,Spain,Indian Export,Order Pending,40,145,556.85
Pending,India,Generic,160,48,300,5.74,,129,No Invoice,India,Indian Export,Order Pending,80,80,918.4
Pending,Brazil,Generic,238,71.4,300,4.96,,129,No Invoice,Brazil,Indian Export,Order Released,80,158,1180.48
Unknown,USA,Generic,210,10.5,50,3.76,16-07-2024,212,Invoice Generated,USA,Indian Export,Order Released,20,190,789.6
Pending,USA,Generic,153,45.9,300,6.44,24-07-2024,161,Invoice Generated,USA,Indian Export,Order Released,140,0,985.32
Under Review,France,Generic,54,5.4,100,7.55,21-07-2024,53,Invoice Generated,France,Local/Regional Sourcing,Order Released,80,-26,407.7
Unknown,Germana,Generic,312,15.6,50,7.49,,129,Invoice Pending,Germana,Local/Regional Sourcing,Order Pending,140,0,2336.88
Pending,UK,Generic,308,85.5,300,8.66,,129,Invoice Pending,UK,Indian Export,Order Pending,140,0,2667.28
Approved,South Korea,Generic,40,8,150,7.47,,129,No Invoice,South Korea,Local/Regional Sourcing,Order Pending,20,20,298.8
Pending,South Korea,Generic,77,19.25,250,5.57,22-07-2024,85,Invoice Generated,South Korea,Indian Export,Order Released,40,37,428.89
Pending,Australia,Brand Chips,286,42.9,150,4.2,18-07-2024,280,Invoice Generated,Australia,Local/Regional Sourcing,Order Released,40,246,1201.2
Pending,Spain,Regular Nuts,470,35.25,75,16.655,,129,No Invoice,Spain,Indian Export,Order Released,140,0,7827.85
Pending,Unknown,Popcorn,39,5.85,150,3.09,19-07-2024,46,Invoice Generated,Unknown,Indian Export,Order Released,39,0,120.51
Pending,USA,Regular Nuts,60,9,150,16.655,29-07-2024,50,Invoice Generated,USA,Local/Regional Sourcing,Order Released,20,40,999.3
Under Review,USA,Generic,110,15.4,75,8.67,21-07-2024,114,Invoice Generated,USA,Local/Regional Sourcing,Order Released,40,70,953.7
Approved,Singapore,Health Bars,128,12.8,100,14.13,,129,Invoice Pending,Singapore,Indian Export,Unknown,80,48,1808.64
Pending,USA,Generic,330,16.5,50,2.92,,129,Invoice Pending,USA,Indian Export,Order Pending,40,290,963.6
Unknown,Japan,Regular Chips,39,2.93,75,5.31,,129,No Invoice,Japan,Indian Export,Order Released,39,0,207.09
Under Review,Brazil,Generic,374,56.1,150,3.29,,129,Invoice Generated,Brazil,Local/Regional Sourcing,Order Released,140,0,1230.46
Unknown,USA,Regular Chips,210,21,100,1.83,19-07-2024,212,Invoice Generated,USA,Indian Export,Unknown,80,130,384.3
Pending,Brazil,Generic,360,27,75,4.33,28-07-2024,361,Invoice Generated,Brazil,Indian Export,Order Released,40,320,1558.8
Pending,Brazil,Premium Nuts,287,43.05,150,15.71,25-07-2024,282,Invoice Generated,Brazil,Local/Regional Sourcing,Order Released,40,247,4508.77
Under Review,Mexico,Regular Nuts,62,9.3,150,10.14,24-07-2024,72,Invoice Generated,Mexico,Indian Export,Order Pending,80,-18,628.68
Approved,Australia,Regular Nuts,39,19.5,500,16.655,,129,Invoice Pending,Australia,Indian Export,Order Released,20,19,649.545
Pending,Germany,Generic,120,9,75,3.75,,129,Invoice Pending,Germany,Indian Export,Order Pending,40,80,450
Pending,Italy,Generic,86,17.2,200,7.41,,129,Invoice Pending,Italy,Indian Export,Order Released,86,0,637.26
Pending,South Korea,Regular Chips,36,2.7,75,5.36,18-07-2024,39,Invoice Generated,South Korea,Indian Export,Order Released,20,16,192.96
Under Review,Canada,Popcorn,541,85.5,500,4.63,22-07-2024,593,Invoice Generated,Canada,Local/Regional Sourcing,Order Released,20,425,2504.83
Approved,India,Brand Chips,240,6,120,9.18,,129,Invoice Pending,India,Local/Regional Sourcing,Order Pending,40,200,2203.2
Pending,Italy,Generic,180,27,150,4.96,,129,No Invoice,Italy,Indian Export,Order Released,40,140,892.8
Under Review,South Korea,Generic,252,12.6,150,2.81,,129,No Invoice,South Korea,Indian Export,Order Pending,20,232,708.12
Under Review,France,Generic,32,6.4,200,5.39,21-07-2024,40,Invoice Generated,France,Local/Regional Sourcing,Order Pending,80,-48,172.48
Under Review,Spain,Generic,100,50,500,5.39,,129,No Invoice,Spain,Indian Export,Order Released,20,80,539
Pending,Canada,Generic,123,3.08,25,8.58,16-07-2024,129,Invoice Generated,Canada,Local/Regional Sourcing,Order Pending,123,0,1055.34
Pending,Australia,Brand Chips,240,36,150,7.94,,129,No Invoice,Australia,Indian Export,Order Pending,140,0,1905.6
Under Review,Canada,Generic,144,28.8,150,3.02,,129,Invoice Pending,Canada,Local/Regional Sourcing,Order Released,40,104,434.88
Pending,Singapore,Premium Chocolate,315,31.5,100,8.56,,129,No Invoice,Singapore,Local/Regional Sourcing,Order Pending,40,275,2696.4
Pending,USA,Popcorn,216,64.8,150,3.81,,129,Unknown,USA,Indian Export,Order Released,80,136,822.96
